Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
IOM,İSTANBUL PORTFÖY ONBEŞİNCİ SERBEST FON,30.04.2026,"3,955083"
ION,İSTANBUL PORTFÖY ONİKİNCİ SERBEST FON,30.04.2026,"2,687735"
IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"4,08421"
IOP,İŞ PORTFÖY ODEABANK PARA PİYASASI (TL) FONU,30.04.2026,"5,597874"
IOT,AZİMUT PORTFÖY 216 SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"54,618039"
IOV,İSTANBUL PORTFÖY PAPİRUS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"53,545733"
IPA,İŞ PORTFÖY SÜTAŞ İKİNCİ SERBEST ÖZEL FON,30.04.2026,"0,763734"
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"0,846193"
IPC,İŞ PORTFÖY CK SERBEST ÖZEL FON,30.04.2026,"23,452537"
IPE,İŞ PORTFÖY ANADOLU SİGORTA SERBEST ÖZEL FON,30.04.2026,"9,170814"
IPF,PERFORM PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"0,112345"
IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,30.04.2026,"9,002467"
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,30.04.2026,"19,127173"
IPK,İŞ PORTFÖY KOS SERBEST ÖZEL FON,30.04.2026,"49,861855"
IPO,İŞ PORTFÖY ONUR SERBEST ÖZEL FON,30.04.2026,"43,935355"
IPP,PERFORM PORTFÖY BIRINCI SERBEST FON,30.04.2026,"0,167573"
IPR,İŞ PORTFÖY ICARUS SERBEST ÖZEL FON,30.04.2026,"31,600262"
IPU,İŞ PORTFÖY AS SERBEST ÖZEL FON,30.04.2026,"44,68628"
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,30.04.2026,"72,924779"
IRB,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,1692"
IRE,İŞ PORTFÖY KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,30.04.2026,"44,817619"
IRF,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"6,36518"
IRL,İSTANBUL PORTFÖY KEY SERBEST FON,30.04.2026,"16,216489"
IRO,İSTANBUL PORTFÖY ROBOTİK TEKNOLOJİLERİ SERBEST FON,30.04.2026,"1,815507"
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,30.04.2026,"6,677804"
IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"6,272026"
IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"3,532055"
ISR,İŞ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"18,079741"
ISS,İŞ PORTFÖY DEĞER SERBEST ÖZEL FON,30.04.2026,"0,271952"
IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,172216"
ITA,İŞ PORTFÖY ARSLAN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"67,322412"
ITC,INVEO PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,241435"
ITD,İŞ PORTFÖY TE2 SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,079166"
ITJ,İSTANBUL PORTFÖY SEKİZİNCİ SERBEST FON,30.04.2026,"9,987198"
ITL,İŞ PORTFÖY ÖPY DELTA SERBEST (TL) ÖZEL FON,30.04.2026,"4,000444"
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,30.04.2026,"11,15296"
ITR,İŞ PORTFÖY TE1 SERBEST ÖZEL FON,30.04.2026,"3,937789"
ITV,İŞ PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,30.04.2026,"45,148838"
ITZ,İŞ PORTFÖY ATLAS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,138983"
IUA,İSTANBUL PORTFÖY KARYA SERBEST (DÖVİZ) FON,30.04.2026,"63,399267"
IUB,İŞ PORTFÖY EVREN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,456666"
IUC,INVEO PORTFÖY GEDİK YATIRIM SERBEST (TL) ÖZEL FON,30.04.2026,"1,903103"
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"63,227596"
IUH,INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,30.04.2026,"5,33065"
IUM,İŞ PORTFÖY HK SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,454345"
IUN,İŞ PORTFÖY YELKEN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"70,879975"
IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON,30.04.2026,"62,537261"
IUZ,İŞ PORTFÖY ANADOLUBANK PARA PİYASASI (TL) FONU,30.04.2026,"4,220518"
IV2,PHİLLİP PORTFÖY ARİSTA SERBEST FON,30.04.2026,"18,674001"
IV6,INVEO PORTFÖY TE3 SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"60,368742"
IV7,INVEO PORTFÖY BEŞER SERBEST (TL) ÖZEL FON,30.04.2026,"4,505839"
IV8,INVEO PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,30.04.2026,"2,072058"
IVA,İSTANBUL PORTFÖY BAYRAKTAR SERBEST ÖZEL FON,30.04.2026,"2,522578"
IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"6,283145"
IVS,İSTANBUL PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"5,394346"
IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"5,154222"
IYB,AURA PORTFÖY DEĞİŞKEN FONU,30.04.2026,"5,739663"
IYP,İSTANBUL PORTFÖY YILDIZ SERBEST ÖZEL FON,30.04.2026,"3,087721"
IYR,İŞ PORTFÖY HEDEF SERBEST FON,30.04.2026,"0,130523"
IYS,İŞ PORTFÖY SÜTAŞ SERBEST ÖZEL FON,30.04.2026,"1,28077"
IYV,İSTANBUL PORTFÖY AŞİYAN SERBEST FON,30.04.2026,"1,122956"
IZA,AZİMUT PORTFÖY İNAN2 SERBEST ÖZEL FON,30.04.2026,"1,983245"
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,30.04.2026,"9,068646"
IZE,İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"60,280895"
IZL,İŞ PORTFÖY EYLÜL 2027 SERBEST (DÖVİZ) FON,30.04.2026,"48,679189"
IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,30.04.2026,"8,303262"
IZV,İSTANBUL PORTFÖY ATLANTİK SERBEST (TL) ÖZEL FON,30.04.2026,"9,202403"
IZY,İŞ PORTFÖY ONYEDİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"45,024593"
JET,ATA PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"2,144665"
JOT,İŞ PORTFÖY JOTANTA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"54,156864"
JUP,AURA PORTFÖY JÜPİTER SERBEST (DÖVİZ) FON,30.04.2026,"0,502873"
KAC,ALBARAKA PORTFÖY EMLAK KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"3,476134"
KAN,KUVEYT TÜRK PORTFÖY ALTIN KATILIM SERBEST FON,30.04.2026,"6693,207437"
KAV,KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"54,460471"
KBJ,STRATEJİ PORTFÖY KİBELE SERBEST FON,30.04.2026,"4,054516"
KBP,KUVEYT TÜRK PORTFÖY PY KATILIM HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,585167"
KBZ,KUVEYT TÜRK PORTFÖY SBZ KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"48,467483"
KCL,KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"1,65768"
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"4,693026"
KDE,KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU,30.04.2026,"1,562197"
KDI,KARE PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"52,999407"
KDK,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-ABD DOLARI) ÖZEL FON,30.04.2026,"14,493094"
KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"49,130316"
KDO,İŞ PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"53,255639"
KDS,KUVEYT TÜRK PORTFÖY YEDİNCİ KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"50,799111"
KDT,GARANTİ PORTFÖY KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"50,632838"
KDV,KUVEYT TÜRK PORTFÖY DOKUZUNCU KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"45,315507"
KDZ,KUVEYT TÜRK PORTFÖY SEKİZINCİ KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"45,917396"
KEI,KUVEYT TÜRK PORTFÖY KATILIM EMEKLİLİK İKİNCİ KATILIM SERBEST ÖZEL FON,30.04.2026,"1,712969"
KEO,KUVEYT TÜRK PORTFÖY KATILIM EMEKLİLİK BİRİNCİ KATILIM SERBEST ÖZEL FON,30.04.2026,"1,61189"
KEU,KUVEYT TÜRK PORTFÖY ONUNCU KATILIM SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"50,069242"
KFZ,KUVEYT TÜRK PORTFÖY KFZ KATILIM SERBEST ÖZEL FON,30.04.2026,"3,966397"
KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,30.04.2026,"3,063171"
KH1,AK PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,275962"
KHA,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,280282"
KHB,KARE PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,48379"
KHC,PARDUS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,110946"
KHD,ATLAS PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,30243"
KHF,ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,149497"
KHJ,ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,194326"
KHP,KUVEYT TÜRK PORTFÖY PAYLAŞIMLI HESAP PARA PİYASASI KATILIM FONU,30.04.2026,"1,022214"
KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,58485"
KHU,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) ÖZEL FON,30.04.2026,"35,394909"
KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,30.04.2026,"4,402647"
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"3,878364"
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"4,082747"
KIH,KARE PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"1,380118"
KIK,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM FONU,30.04.2026,"1,354005"
KIS,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,30.04.2026,"0,208814"
KJK,KUVEYT TÜRK PORTFÖY KUVEYT TÜRK YABANCI KATILIM SERBEST ÖZEL FON,30.04.2026,"0,002115"
KKB,KUVEYT TÜRK PORTFÖY EKAS KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,810337"
KKC,KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"54,269384"
KKE,KUVEYT TÜRK PORTFÖY USTA KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"48,416042"
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,30.04.2026,"6,348611"
KKL,ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"2,173042"
KKO,YAPI KREDİ PORTFÖY KASIM 2026 KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,30.04.2026,"45,639184"
KKP,İŞ PORTFÖY 2028 KAPİTAL KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,30.04.2026,"46,296311"
KKT,KUVEYT TÜRK PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"2,766381"
KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,739516"
KLI,AK PORTFÖY PARA PİYASASI KATILIM SERBEST FON,30.04.2026,"1,160769"
KLL,KUVEYT TÜRK PORTFÖY TLL KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"54,4458"
KLM,İŞ PORTFÖY KALAMIŞ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,218074"
KLS,ALLBATROSS PORTFÖY KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"41,081513"
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,30.04.2026,"4,298085"
KMA,KUVEYT TÜRK PORTFÖY KMA KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"159,081278"
KME,KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU,30.04.2026,"1,488103"
KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,30.04.2026,"3,398912"
KMN,YAPI KREDİ PORTFÖY KIYMETLİ MADENLER KATILIM FONU,30.04.2026,"0,958876"
KMT,KUVEYT TÜRK PORTFÖY KAM KATILIM SERBEST (TL) ÖZEL FON,30.04.2026,"3,557749"
KNC,AK PORTFÖY ÖPY ÜÇÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,704534"
KNI,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,30.04.2026,"1,225487"
KNJ,KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU,30.04.2026,"1,909881"
KNN,İŞ PORTFÖY KANTİTATİF SERBEST (TL) FON,30.04.2026,"1,327291"
KNP,AK PORTFÖY KOR SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"75,989853"
KNS,KUVEYT TÜRK PORTFÖY NKS KATILIM SERBEST (TL) ÖZEL FON,30.04.2026,"3,962655"
KNT,AK PORTFÖY VİRA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,230123"
KNV,AK PORTFÖY OPERA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,538799"
KNZ,AK PORTFÖY MNM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,139994"
KO4,QNB PORTFÖY KAR PAYI ÖDEYEN ONDÖRDÜNCÜ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"52,802253"
KOB,KUVEYT TÜRK PORTFÖY KUVEYT TÜRK KATILIM BANKASI ÖZEL BANKACILIK KATILIM SERBEST ÖZEL FON,30.04.2026,"1,254143"
KOP,QİNVEST PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"7,439588"
KOT,AZİMUT PORTFÖY KOÇ TOPLULUĞU ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,414818"
KOZ,İŞ PORTFÖY KOZA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"60,170601"
KP3,KARE PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"50,912785"
KPA,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,526322"
KPB,ROTA PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,30.04.2026,"6,280288"
KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"19,535939"
KPD,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"46,082859"
KPF,NEO PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,565667"
KPH,İŞ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,331115"
KPI,İŞ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,30.04.2026,"1,307141"
KPK,İŞ PORTFÖY DURUSU SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"9,361351"
KPP,KARE PORTFÖY PARA PİYASASI FONU,30.04.2026,"2,800532"
KPR,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM SERBEST FON,30.04.2026,"1,663328"
KPU,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,770142"
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,131672"
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"19,435531"
KRH,PARDUS PORTFÖY KARTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,350114"
KRO,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONUNCU SERBEST (DÖVİZ) FON,30.04.2026,"45,258982"
KRR,İŞ PORTFÖY KARMA FON,30.04.2026,"1,105516"
KRS,KARE PORTFÖY SERBEST (DÖVİZ) FON,30.04.2026,"0,483677"
KRT,KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,30.04.2026,"69,374435"
KRV,QNB PORTFÖY KAR PAYI ÖDEYEN ALTINCI SERBEST (DÖVİZ) FON,30.04.2026,"45,17714"
KSA,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,30.04.2026,"3,61855"
KSC,KUVEYT TÜRK PORTFÖY ASC KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"46,159444"
KSK,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU,30.04.2026,"2,593383"
KSL,ALBARAKA PORTFÖY İKİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"53,414195"
KSM,ALBARAKA PORTFÖY İKİNCİ KATILIM SERBEST (DÖVİZ-ABD DOLARI) FON,30.04.2026,"48,077678"
KSP,QNB PORTFÖY KAR PAYI ÖDEYEN SERBEST (DÖVİZ-POUND) FON,30.04.2026,"60,861272"
KSR,KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,30.04.2026,"4,696143"
KST,ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,957755"
KSV,KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"5,128562"
KSY,YAPI KREDİ PORTFÖY PY KANDİLLİ SERBEST ÖZEL FON,30.04.2026,"9,759566"
KTE,KUVEYT TÜRK PORTFÖY CEYLAN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"41,712814"
KTI,AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,92575"
KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,30.04.2026,"2,138489"
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,30.04.2026,"20,125119"
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,30.04.2026,"7,425544"
KTR,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON,30.04.2026,"9,483792"
KTS,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"13,621638"
KTT,KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"65,685344"
KTU,KUVEYT TÜRK PORTFÖY NEOVA KATILIM SERBEST (TL) ÖZEL FON,30.04.2026,"26,718332"
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,30.04.2026,"6,883329"
KU3,KUVEYT TÜRK PORTFÖY ÜÇÜNCÜ KATILIM FONU,30.04.2026,"1,007317"
KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,30.04.2026,"1,391431"
KUB,KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,30.04.2026,"0,690759"
KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,30.04.2026,"1,536078"
KUP,AK PORTFÖY KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,30.04.2026,"46,37236"
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,30.04.2026,"12,224461"
KVA,KUVEYT TÜRK PORTFÖY KTYMD KISA VADELİ KATILIM SERBEST ÖZEL FON,30.04.2026,"1,568681"
KVK,HEDEF PORTFÖY KATILIM İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"1,15469"
KVR,ATLAS PORTFÖY KISA VADELİ KATILIM SERBEST FON,30.04.2026,"1,148575"
KVS,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,30.04.2026,"3,359551"
KVT,AK PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,391875"
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,228246"
KYR,BV PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,769533"
KYS,KARE PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"49,462179"
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,30.04.2026,"27,598833"
KZO,AZİMUT PORTFÖY KOİ SERBEST ÖZEL FON,30.04.2026,"1,997752"
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,30.04.2026,"2,332452"
LAI,ATLAS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,791158"
LET,QNB PORTFÖY LETO SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"52,080401"
LFD,İŞ PORTFÖY AZİM HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"8,236267"
LGK,AZİMUT PORTFÖY İKİNCİ ÖPY SERBEST ÖZEL FON,30.04.2026,"1,272357"
LGO,ATLAS PORTFÖY ALGO TOROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"6,135393"
LHM,AK PORTFÖY NETA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"77,02178"
LHP,AK PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"53,483703"
LKT,AKTİF PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"1,673511"
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,249128"
LPH,STATECH PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,274581"
LRT,ATA PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,30.04.2026,"3,28079"
LTC,AK PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,455336"
LTS,HEDEF PORTFÖY LOTUS SERBEST FON,30.04.2026,"3,807072"
LZV,AZİMUT PORTFÖY İLA HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"8,159904"
MAC,MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,763603"
MAD,MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"1,014599"
MAS,MARMARA CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"12,498649"
MAV,QNB PORTFÖY ADAMAVİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"55,296051"
MBL,MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"0,256316"
MBR,MT PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"1,500781"
MCU,AZİMUT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,251205"
MD1,MT PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"1,967696"
MD2,MT PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"1,887629"
MDF,FİBA PORTFÖY MODEL EMTİA FON SEPETİ SERBEST FON,30.04.2026,"1,263137"
MET,GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,30.04.2026,"5,460588"
MGB,İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,38766"
MGD,DENİZ PORTFÖY MGD HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,850107"
